review_status,canonical_key,canonical_title,primary_file,variant_count,variant_extensions,max_duration_seconds,series_or_project,episode_or_segment,rights_status,publishable,sensitivity_level,primary_topics,people_entities,summary_for_search,variant_paths,notes
todo,audio_01_13_2025_17_07,Session Audio 01 13 2025 17 07 28,audio recordings/Audio_01_13_2025_17_07_28.mp3,1,.mp3,1647.056,Audio Bee,,,,,,,,audio recordings/Audio_01_13_2025_17_07_28.mp3,
todo,audio_01_13_2025_17_35,Session Audio 01 13 2025 17 35 21,audio recordings/Audio_01_13_2025_17_35_21.mp3,1,.mp3,942.14,Audio Bee,,,,,,,,audio recordings/Audio_01_13_2025_17_35_21.mp3,
todo,audio_01_13_2025_17_51,Session Audio 01 13 2025 17 51 30,audio recordings/Audio_01_13_2025_17_51_30.mp3,1,.mp3,277.328,Audio Bee,,,,,,,,audio recordings/Audio_01_13_2025_17_51_30.mp3,
todo,audio_01_22_2025_19_53,Session Audio 01 22 2025 19 53 16,audio recordings/Audio_01_22_2025_19_53_16.mp3,1,.mp3,39.944,Audio Bee,,,,,,,,audio recordings/Audio_01_22_2025_19_53_16.mp3,
todo,audio_01_22_2025_20_12,Session Audio 01 22 2025 20 12 49,audio recordings/Audio_01_22_2025_20_12_49.mp3,1,.mp3,824.66,Audio Bee,,,,,,,,audio recordings/Audio_01_22_2025_20_12_49.mp3,
todo,audio_01_27_2025_09_08,Session Audio 01 27 2025 09 08 50,audio recordings/Audio_01_27_2025_09_08_50.mp3,1,.mp3,758.9,Audio Bee,,,,,,,,audio recordings/Audio_01_27_2025_09_08_50.mp3,
todo,audio_01_27_2025_10_03,Session Audio 01 27 2025 10 03 40,audio recordings/Audio_01_27_2025_10_03_40.mp3,1,.mp3,1028.252,Audio Bee,,,,,,,,audio recordings/Audio_01_27_2025_10_03_40.mp3,
todo,audio_02_20_2025_15_13,Session Audio 02 20 2025 15 13 32,audio recordings/Audio_02_20_2025_15_13_32.mp3,1,.mp3,678.712,Audio Bee,,,,,,,,audio recordings/Audio_02_20_2025_15_13_32.mp3,
todo,audio_03_08_2025_10_57,Session Audio 03 08 2025 10 57 22,audio recordings/Audio_03_08_2025_10_57_22.mp3,1,.mp3,1366.924,Audio Bee,,,,,,,,audio recordings/Audio_03_08_2025_10_57_22.mp3,
todo,audio_03_21_2025_21_08_13,Session Audio 03 21 2025 21 08 13 1,audio recordings/Audio_03_21_2025_21_08_13_1.mp3,1,.mp3,684.236,Audio Bee,,,,,,,,audio recordings/Audio_03_21_2025_21_08_13_1.mp3,
todo,audio_03_21_2025_21_19,Session Audio 03 21 2025 21 19 44,audio recordings/Audio_03_21_2025_21_19_44.mp3,1,.mp3,435.08,Audio Bee,,,,,,,,audio recordings/Audio_03_21_2025_21_19_44.mp3,
todo,audio_04_20_2025_12_14,Session Audio 04 20 2025 12 14 46,audio recordings/Audio_04_20_2025_12_14_46.mp3,1,.mp3,427.844,Audio Bee,,,,,,,,audio recordings/Audio_04_20_2025_12_14_46.mp3,
todo,audio_05_06_2025_15_27,Session Audio 05 06 2025 15 27 56,audio recordings/Audio_05_06_2025_15_27_56.mp3,1,.mp3,1792.289,Audio Bee,,,,,,,,audio recordings/Audio_05_06_2025_15_27_56.mp3,
todo,audio_05_11_2025_08_15,Session Audio 05 11 2025 08 15 18,audio recordings/Audio_05_11_2025_08_15_18.mp3,1,.mp3,90.116,Audio Bee,,,,,,,,audio recordings/Audio_05_11_2025_08_15_18.mp3,
todo,audio_05_16_2025_21_15,Session Audio 05 16 2025 21 15 11,audio recordings/Audio_05_16_2025_21_15_11.mp3,1,.mp3,1427.727,Audio Bee,,,,,,,,audio recordings/Audio_05_16_2025_21_15_11.mp3,
todo,audio_05_16_2025_23_26,Session Audio 05 16 2025 23 26 41,audio recordings/Audio_05_16_2025_23_26_41.mp3,1,.mp3,32.287,Audio Bee,,,,,,,,audio recordings/Audio_05_16_2025_23_26_41.mp3,
todo,audio_05_20_2025_07_30,Session Audio 05 20 2025 07 30 39,audio recordings/Audio_05_20_2025_07_30_39.mp3,1,.mp3,605.565,Audio Bee,,,,,,,,audio recordings/Audio_05_20_2025_07_30_39.mp3,
todo,audio_05_22_2025_23_14,Session Audio 05 22 2025 23 14 54,audio recordings/Audio_05_22_2025_23_14_54.mp3,1,.mp3,383.237,Audio Bee,,,,,,,,audio recordings/Audio_05_22_2025_23_14_54.mp3,
todo,audio_05_30_2023_08_31,Session Audio 05 30 2023 08 31 42,audio recordings/Audio_05_30_2023_08_31_42.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_05_30_2023_08_31_42.mp3,
todo,audio_06_01_2025_13_02,Session Audio 06 01 2025 13 02 54,audio recordings/Audio_06_01_2025_13_02_54.mp3,1,.mp3,593.94,Audio Bee,,,,,,,,audio recordings/Audio_06_01_2025_13_02_54.mp3,
todo,audio_06_01_2025_19_50,Session Audio 06 01 2025 19 50 52,audio recordings/Audio_06_01_2025_19_50_52.mp3,1,.mp3,196.463,Audio Bee,,,,,,,,audio recordings/Audio_06_01_2025_19_50_52.mp3,
todo,audio_06_17_2023_21_45,Session Audio 06 17 2023 21 45 15,audio recordings/Audio_06_17_2023_21_45_15.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_06_17_2023_21_45_15.mp3,
todo,audio_06_18_2025_11_53,Session Audio 06 18 2025 11 53 08,audio recordings/Audio_06_18_2025_11_53_08.mp3,1,.mp3,127.106,Audio Bee,,,,,,,,audio recordings/Audio_06_18_2025_11_53_08.mp3,
